name,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
MP_A,7886154.629,266333.829,180.0,0,0,0,1
MP_B,7886184.355,266349.307,180.0,0,0,0,1
MP_C,7886213.846,266334.469,180.0,0,0,0,1
MP_D,7886211.143,266286.780,180.0,0,0,0,1
MP_E,7886273.144,266161.874,180.0,0,0,0,1
MP_F,7886180.090,266026.407,180.0,0,0,0,1
MP_G,7886163.562,265820.825,180.0,0,0,0,1
MP_H,7886092.391,265753.156,180.0,0,0,0,1
MP_I,7885777.363,265590.566,180.0,0,0,0,1
MP_J,7885682.799,265446.027,180.0,0,0,0,1
MP_K,7885717.350,265360.283,180.0,0,0,0,1
MP_L,7885733.479,265280.615,180.0,0,0,0,1
MP_M,7885722.820,265226.560,180.0,0,0,0,1
MP_N,7885624.893,265063.699,180.0,0,0,0,1
MP_O,7885671.068,264972.483,180.0,0,0,0,1
MP_P,7885736.975,264877.650,180.0,0,0,0,1
MP_Q,7886015.960,264860.607,180.0,0,0,0,1
MP_R,7886169.799,264859.633,180.0,0,0,0,1
MP_S,7886359.014,264864.315,180.0,0,0,0,1
MP_T,7886382.136,264892.506,180.0,0,0,0,1
MP_U,7886326.441,264937.882,180.0,0,0,0,1
MP_V,7886261.584,265013.445,180.0,0,0,0,1
MP_W,7886265.865,265082.687,180.0,0,0,0,1
MP_X,7886058.860,265306.465,180.0,0,0,0,1
MP_Y,7885982.175,265300.744,180.0,0,0,0,1
MP_Z,7885931.930,265350.320,180.0,0,0,0,1
MP_ZA,7886250.083,265896.031,180.0,0,0,0,1
MP_ZB,7886253.981,265950.761,180.0,0,0,0,1
MP_ZC,7886312.789,266138.918,180.0,0,0,0,1
MP_XA,7886242.239,266133.358,180.0,0,0,0,1
MP_XB,7886270.539,266112.661,180.0,0,0,0,1
MP_XC,7886289.547,266139.694,180.0,0,0,0,1
MP_XD,7886206.139,266301.900,180.0,0,0,0,1
MP_XE,7886193.116,266302.705,180.0,0,0,0,1
MP_XF,7886188.265,266294.982,180.0,0,0,0,1
MP_XG,7886193.889,266286.168,180.0,0,0,0,1
MP_1_VDA1,7886154.972,266093.5834,180.0,0,0,0,1
MP_2_VDA1,7886150.190,266032.8113,180.0,0,0,0,1
MP_3_VDA1,7886197.063,265967.9738,180.0,0,0,0,1
MP_4_VDA1,7886199.005,265876.0983,180.0,0,0,0,1
MP_5_VDA1,7886138.232,265880.8811,180.0,0,0,0,1
MP_6_VDA1,7886143.015,265941.6532,180.0,0,0,0,1
MP_7_VDA1,7886199.454,265998.3599,180.0,0,0,0,1
MP_8_VDA1,7886215.745,266088.8006,180.0,0,0,0,1
MP_1_VDA2,7886162.744,265181.8766,180.0,0,0,0,1
MP_2_VDA2,7886203.018,265136.1156,180.0,0,0,0,1
MP_3_VDA2,7886282.190,265124.5882,180.0,0,0,0,1
MP_4_VDA2,7886349.466,265061.9880,180.0,0,0,0,1
MP_5_VDA2,7886303.705,265021.7132,180.0,0,0,0,1
MP_6_VDA2,7886263.430,265067.4742,180.0,0,0,0,1
MP_7_VDA2,7886262.052,265147.4687,180.0,0,0,0,1
MP_8_VDA2,7886208.504,265222.1513,180.0,0,0,0,1
ScenarioPoint_A,7885870.182,265373.0839,190.6,0,0,0,1
ScenarioPoint_B,7885760.64,264894.4396,190.6,0,0,0,1
ScenarioPoint_C,7885927.64,264906.516,190.6,0,0,0,1
ScenarioPoint_D,7885929.685,264863.6676,190.6,0,0,0,1
ScenarioPoint_E,7886204.236,264865.125,190.6,0,0,0,1
ScenarioPoint_F,7886217.3,264864.7956,190.6,0,0,0,1
ScenarioPoint_G,7886257.991,265040.8236,190.6,0,0,0,1
ScenarioPoint_H,7886007.817,265375.858,190.6,0,0,0,1
ScenarioPoint_I,7885913.71,265626.6634,190.6,0,0,0,1
ScenarioPoint_J,7886254.809,265903.032,190.6,0,0,0,1
ZCurve_A,7886135.683,265285.662,190.6,0,0,0,1
ZCurve_B,7886206.394,265214.952,190.6,0,0,0,1
ZCurve_C00,7886188.716,265161.919,190.6,0,0,0,1
ZCurve_C10,7886195.787,265154.848,190.6,0,0,0,1
ZCurve_C20,7886202.858,265147.777,190.6,0,0,0,1
ZCurve_C01,7886195.787,265168.990,190.6,0,0,0,1
ZCurve_C11,7886202.858,265161.919,190.6,0,0,0,1
ZCurve_C21,7886209.929,265154.848,190.6,0,0,0,1
ZCurve_C02,7886202.858,265176.061,190.6,0,0,0,1
ZCurve_C12,7886209.929,265168.990,190.6,0,0,0,1
ZCurve_C22,7886217.000,265161.919,190.6,0,0,0,1
ZCurve_D0,7886259.427,265091.208,190.6,0,0,0,1
ZCurve_D1,7886266.498,265098.279,190.6,0,0,0,1
ZCurve_D2,7886273.569,265105.350,190.6,0,0,0,1
Cor_A,7886171.094,265205.686,190.6,0,0,0,1
Cor_B,7886277.160,265099.620,190.6,0,0,0,1
ACor_A,7886171.094,265205.686,190.6,0,0,0,1
ACor_B,7886213.521,265163.259,190.6,0,0,0,1
ACor_C,7886277.160,265099.620,190.6,0,0,0,1
FLTR_A,7886187.300,265200.895,180.0,0,0,0,1
FLTR_B,7886260.581,265121.766,180.0,0,0,0,1
temp,7885727.55,265295.28,180.0,0,0,0,1
