name,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
MP_A,129.745,734.561,189.864,-0.000,-0.000,0.707,0.707
MP_AA,-90.550,-247.531,182.955,-0.000,-0.000,-0.996,0.087
MP_AB,-155.128,-258.849,183.168,-0.000,-0.000,0.819,0.574
MP_AC,-245.823,-12.143,185.940,-0.000,-0.000,0.309,0.951
MP_AD,215.443,297.398,186.960,-0.000,-0.000,0.707,0.707
MP_AE,222.100,353.321,187.204,-0.000,-0.000,0.595,0.803
MP_AF,277.357,541.061,187.610,-0.000,-0.000,0.985,0.174
MP_AG,182.136,679.143,189.084,-0.000,-0.000,0.946,0.324
MP_AH,179.157,741.319,189.824,-0.000,-0.000,0.967,0.253
MP_AI,127.132,744.432,189.965,-0.000,-0.000,-0.749,0.662
MP_B,150.349,750.558,190.190,-0.000,-0.000,-0.087,0.996
MP_C,179.824,735.761,189.863,-0.000,-0.000,-0.707,0.707
MP_D,177.689,682.923,189.368,-0.000,-0.000,-0.259,0.966
MP_E,238.966,562.987,187.478,-0.000,-0.000,-0.707,0.707
MP_F,103.316,422.518,186.953,-0.000,-0.000,-0.500,0.866
MP_G,138.882,334.680,186.876,-0.000,-0.000,-0.707,0.707
MP_H,130.217,225.123,186.410,-0.000,-0.000,-0.954,0.301
MP_I,-11.021,101.962,186.028,-0.000,-0.000,-0.954,0.301
MP_J,-257.078,-8.822,186.303,-0.000,-0.000,-0.819,0.574
MP_K,-360.337,-163.624,188.697,-0.000,-0.000,-0.383,0.924
MP_L,-330.228,-241.692,186.478,-0.000,-0.000,-0.574,0.819
MP_M,-307.988,-306.591,186.392,-0.000,-0.000,-0.500,0.866
MP_N,-311.161,-372.211,186.743,-0.000,-0.000,-0.866,0.500
MP_O,-409.056,-534.898,185.738,-0.000,-0.000,-0.707,0.707
MP_P,-366.438,-616.756,185.080,-0.000,-0.000,-0.462,0.887
MP_Q,-291.597,-719.658,183.248,-0.000,-0.000,-0.131,0.991
MP_R,-17.020,-744.228,180.757,-0.000,-0.000,-0.000,1.000
MP_S,137.086,-745.286,179.760,-0.000,-0.000,-0.000,1.000
MP_T,332.891,-737.944,175.019,-0.000,-0.000,0.500,0.866
VS_B,332.891,-737.944,175.019,-0.000,-0.000,0.500,0.866
MP_U,348.104,-706.194,175.699,-0.000,-0.000,0.940,0.342
VS_C,348.104,-706.194,175.699,-0.000,-0.000,0.940,0.342
MP_V,293.006,-660.550,178.534,-0.000,-0.000,0.906,0.423
MP_W,227.634,-585.500,178.562,-0.000,-0.000,0.707,0.707
VS_D,227.634,-585.500,178.562,-0.000,-0.000,0.707,0.707
MP_X,232.337,-515.828,177.656,-0.000,-0.000,0.906,0.423
MP_Y,25.290,-294.799,181.158,-0.000,-0.000,0.906,0.423
MP_Z,-51.271,-298.128,183.129,-0.000,-0.000,0.906,0.423
SP_D,-119.442,-740.822,181.900,-0.000,-0.000,-0.000,1.000
SP_E,155.110,-739.365,179.900,-0.000,-0.000,-0.000,1.000
SP_F,168.173,-739.694,180.100,-0.000,-0.000,-0.000,1.000
VS_A,155.478,-648.393,174.339,-0.000,-0.000,-0.524,0.852
TI_1,-121.487,-697.974,180.300,-0.000,-0.000,-0.000,1.000
VS_E,185.010,-618.665,175.200,-0.000,-0.000,-0.927,0.376
TI_2,160.610,-691.965,175.000,-0.000,-0.000,-0.000,1.000
TI_3,185.010,-618.665,175.200,-0.000,-0.000,-0.000,1.000
TI_4,5.109,-275.285,182.173,-0.000,-0.000,-0.000,1.000
S_FED,91.569,712.029,190.312,-0.000,-0.000,-0.067,0.998
S_MRZR2,157.161,703.054,190.100,-0.000,-0.000,0.999,0.051
S_MRZR4,157.291,705.818,190.100,-0.000,-0.000,0.999,0.051
