name,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
MP_A,7886163.725832,266333.244900001,180.0,0.000,0.000,0.707,0.707
MP_B,7886184.330032,266349.242300001,180.0,0.000,0.000,-0.087,0.996
MP_D,7886211.669932,266281.607000001,180.0,0.000,0.000,-0.259,0.966
MP_E,7886272.947432,266161.671300002,180.0,0.000,0.000,-0.707,0.707
MP_Q,7885742.384032,264879.0263,180.0,0.000,0.000,-0.131,0.991
MP_O,7885624.924532,265063.785699998,180.0,0.000,0.000,-0.707,0.707
MP_N,7885722.820432,265226.473599998,180.0,0.000,0.000,-0.866,0.500
MP_M,7885734.953998,265280.009913099,180.0,0.000,0.000,-0.500,0.866
MP_L,7885703.753232,265356.9921,180.0,0.000,0.000,-0.574,0.819
MP_K,7885673.644232,265435.060499999,180.0,0.000,0.000,-0.383,0.924
MP_I,7886022.960332,265700.646200001,180.0,0.000,0.000,-0.954,0.301
MP_R,7886016.960532,264854.456,180.0,0.000,0.000,-0.000,1.000
MP_S,7886171.067132,264853.3977,180.0,0.000,0.000,-0.000,1.000
MP_T,7886366.872032,264860.739799997,180.0,0.000,0.000,0.500,0.866
MP_U,7886382.085532,264892.489799999,180.0,0.000,0.000,0.940,0.342
MP_V,7886326.986532,264938.134300002,180.0,0.000,0.000,0.906,0.423
MP_W,7886261.615332,265013.184299997,180.0,0.000,0.000,0.707,0.707
MP_X,7886266.318232,265082.8566,180.0,0.000,0.000,0.906,0.423
MP_J,7885776.903332,265589.861900001,180.0,0.000,0.000,-0.819,0.574
MP_F,7886137.296932,266021.201600002,180.0,0.000,0.000,-0.500,0.866
MP_G,7886172.862732,265933.363799997,180.0,0.000,0.000,-0.707,0.707
MP_H,7886164.198132,265823.807300001,180.0,0.000,0.000,-0.954,0.301
MP_P,7885667.542832,264981.9282,180.0,0.000,0.000,-0.462,0.887
MP_C,7886213.804732,266334.4451,180.0,0.000,0.000,-0.707,0.707
MP_Y,7886059.270832,265303.884700002,180.0,0.000,0.000,0.906,0.423
MP_Z,7885982.709932,265300.555999998,180.0,0.000,0.000,0.906,0.423
MP_AA,7885943.430832,265351.152799999,180.0,0.000,0.000,-0.996,0.087
MP_AB,7885878.853332,265339.835100002,180.0,0.000,0.000,0.819,0.574
MP_AD,7886249.423632,265896.081999997,180.0,0.000,0.000,0.707,0.707
MP_AE,7886256.081132,265952.004700002,180.0,0.000,0.000,0.595,0.803
MP_AF,7886311.338132,266139.7454,180.0,0.000,0.000,0.985,0.174
MP_AC,7885788.158432,265586.5408,180.0,0.000,0.000,0.309,0.951
MP_AG,7886216.116532,266277.827399997,180.0,0.000,0.000,0.946,0.324
MP_AH,7886213.137732,266340.003300001,180.0,0.000,0.000,0.967,0.253
MP_AI,7886161.112832,266343.1159,180.0,0.000,0.000,-0.749,0.662
MP_XA,7886242.239,266133.358,180.0,0.000,0.000,0.000,1.000
MP_XB,7886270.539,266112.661,180.0,0.000,0.000,0.000,1.000
MP_XC,7886289.547,266139.694,180.0,0.000,0.000,0.000,1.000
MP_XD,7886206.139,266301.9,180.0,0.000,0.000,0.000,1.000
MP_XE,7886193.116,266302.705,180.0,0.000,0.000,0.000,1.000
MP_XF,7886188.265,266294.982,180.0,0.000,0.000,0.000,1.000
MP_XG,7886193.889,266286.168,180.0,0.000,0.000,0.000,1.000
