name,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
MP_A,849.385805144906,2200.874050391605,180.0,0.000,0.000,0.707,0.707
MP_A1,842.385805144906,2200.874050391605,180.0,0.000,0.000,0.707,0.707
MP_A2,835.385805144906,2200.874050391605,180.0,0.000,0.000,0.707,0.707
MP_B,869.9900051448494,2216.871450391598,180.0,0.000,0.000,-0.087,0.996
MP_D,897.3299051448703,2149.2361503916327,180.0,0.000,0.000,-0.259,0.966
MP_E,958.6074051447212,2029.3004503926493,180.0,0.000,0.000,-0.707,0.707
MP_Q,428.0440051443875,746.6554503906518,180.0,0.000,0.000,-0.131,0.991
MP_O,310.5845051445067,931.4148503886536,180.0,0.000,0.000,-0.707,0.707
MP_N,408.48040514439344,1094.1027503886144,180.0,0.000,0.000,-0.866,0.500
MP_K,362.8995289343098,1310.3795047377766,180.0,0.000,0.000,-0.383,0.924
MP_K1,383.2817069163996,1276.6436509216985,180.0,0.000,0.000,0.000,1.000
MP_L,401.0813329644458,1247.5115586092973,180.0,0.000,0.000,-0.574,0.819
MP_M,413.42477513567695,1159.5035543171732,180.0,0.000,0.000,-0.500,0.866
MP_M1,422.66682884681626,1140.125972285785,180.0,0.000,0.000,0.000,1.000
MP_I,708.620305144228,1568.275350391632,180.0,0.000,0.000,-0.954,0.301
MP_R,702.6205051448196,726.0851503906306,180.0,0.000,0.000,-0.000,1.000
MP_S,885.0778418835253,733.5495312747662,180.0,0.000,0.000,-0.000,1.000
MP_T,1052.5320051442832,728.3689503876376,180.0,0.000,0.000,0.500,0.866
MP_U,1067.7455051448196,760.1189503896167,180.0,0.000,0.000,0.940,0.342
MP_V,1012.6465051444249,805.7634503926383,180.0,0.000,0.000,0.906,0.423
MP_W,947.2753051444888,880.8134503876208,180.0,0.000,0.000,0.707,0.707
MP_X,951.9782051444054,950.4857503906242,180.0,0.000,0.000,0.906,0.423
MP_J,462.56330514419824,1457.4910503916326,180.0,0.000,0.000,-0.819,0.574
MP_F,822.9569051442668,1888.8307503926333,180.0,0.000,0.000,-0.500,0.866
MP_G,858.5227051442489,1800.9929503876483,180.0,0.000,0.000,-0.707,0.707
MP_H,849.8581051444635,1691.4364503916004,180.0,0.000,0.000,-0.954,0.301
MP_P,353.2028051447124,849.5573503906489,180.0,0.000,0.000,-0.462,0.887
MP_C,899.4647051449865,2202.0742503906367,180.0,0.000,0.000,-0.707,0.707
MP_Y,744.9308051448315,1171.5138503925991,180.0,0.000,0.000,0.906,0.423
MP_Z,668.3699051449075,1168.1851503886282,180.0,0.000,0.000,0.906,0.423
MP_AA,629.0908051449805,1218.7819503896171,180.0,0.000,0.000,-0.996,0.087
MP_AB,571.7263368917629,1206.5257829022594,180.0,0.000,0.000,0.819,0.574
MP_AD,935.0836051441728,1763.7111503876513,180.0,0.000,0.000,0.707,0.707
MP_AE,941.7411051448436,1819.633850392653,180.0,0.000,0.000,0.595,0.803
MP_AF,996.9981051441282,2007.3745503906396,180.0,0.000,0.000,0.985,0.174
MP_AC,473.81840514484793,1454.169950390642,180.0,0.000,0.000,0.309,0.951
MP_AG,901.776505144313,2145.4565503876074,180.0,0.000,0.000,0.946,0.324
MP_AH,898.7977051446214,2207.6324503915966,180.0,0.000,0.000,0.967,0.253
MP_AI,846.772805144079,2210.7450503906,180.0,0.000,0.000,-0.749,0.662
MP_XA,927.8989731445909,2000.9871503906325,180.0,0.000,0.000,0.000,1.000
MP_XB,956.1989731444046,1980.2901503906469,180.0,0.000,0.000,0.000,1.000
MP_XC,975.2069731447846,2007.3231503906427,180.0,0.000,0.000,0.000,1.000
MP_XD,891.7989731449634,2169.5291503906483,180.0,0.000,0.000,0.000,1.000
MP_XE,878.7759731449187,2170.3341503906413,180.0,0.000,0.000,0.000,1.000
MP_XF,873.924973144196,2162.611150390643,180.0,0.000,0.000,0.000,1.000
MP_XG,879.5489731449634,2153.79715039063,180.0,0.000,0.000,0.000,1.000
