name,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
AnimalCrossing_Start,-28443,71144.7,18430.3,0,0,0.793353,0.608761
AR_2,28423.1,-38927.9,18825.8,0,0,-0.622756,0.782416
MissionPoint_A,10492.5,-73469.8,19060,0,0,0,1
MissionPoint_B,13457.6,-75002.6,19060,0,0,0,1
MissionPoint_C,16405,-73522.8,19060,0,0,0,1
MissionPoint_D,16191.6,-68239,19060,0,0,0,1
MissionPoint_E,22319.3,-56245.5,19060,0,0,0,1
MissionPoint_F,9817.96,-43452.9,19060,0,0,0,1
MissionPoint_G,16017.9,-31795.7,19060,0,0,0,1
MissionPoint_H,14938.3,-24419.1,19060,0,0,0,1
MissionPoint_I,-26244.1,1949.21,19060,0,0,0,1
MissionPoint_J,-16249.4,26073.9,19060,0,0,0,1
MissionPoint_K,-11846.3,31461.3,19060,0,0,0,1
MissionPoint_L,-7637.32,34208.5,19060,0,0,0,1
MissionPoint_M,-12882.6,35022.1,19060,0,0,0,1
MissionPoint_N,-32693.1,37274.1,19060,0,0,0,1
MissionPoint_O,-42482.7,53542.9,19060,0,0,0,1
MissionPoint_P,-37866.5,62683,19060,0,0,0,1
MissionPoint_Q,-26264.9,73354.9,19060,0,0,0,1
MissionPoint_R,-3279.29,74475.8,19060,0,0,0,1
MissionPoint_S,12131.4,74581.6,19060,0,0,0,1
MissionPoint_T,31711.7,73847.4,19060,0,0,0,1
MissionPoint_U,33233.3,70672.4,19060,0,0,0,1
MissionPoint_V,36176.8,59890.7,19060,0,0,0,1
MissionPoint_W,19388.7,39829,19060,0,0,0,1
MissionPoint_X,5212.44,27802.1,19060,0,0,0,1
MP_0,16460.4,-70540.7,19075.4,0,0,-0.998364,0.057178
MP_A,12740.5,-73364.9,19031.5,0,0,-0.672517,0.740082
MP_B,14700.5,-75056.9,19070,0,0,5.08E-07,1
MP_C,18153.5,-73771.9,19019.3,0,0,-0.0531896,0.998584
MP_D,18080.5,-68036.9,18970,0,0,0.342022,0.939692
MP_E,23813.8,-56218.1,18792.3,0,0,0.624139,0.781313
MP_F,11833.6,-43214.3,18744.8,0,0,0.724091,0.689704
MP_G,19137,-31341.9,18713.2,0,0,0.72081,0.693132
MP_H,17855,-25763.9,18731.2,0,0,0.931839,0.362873
MP_I,-24775.2,1875.33,18628.8,0,0,0.679965,0.733244
MP_J,-14791.1,26211.6,18363.5,0,0,0.297323,0.954777
MP_K,-10592.4,32065.5,18380.3,0,0,-0.300246,0.953862
MP_L,-6617.18,35417.6,18340,0,0,0.939693,0.342019
MP_M,-12663.5,34942.6,18430,0,0,-0.996195,0.0871572
MP_N,-31394,38104.7,18710,0,0,0.866026,0.499999
MP_O,-40753.6,53743.4,18620,0,0,0.707107,0.707106
MP_P,-36047.4,62203.6,18560,0,0,0.573577,0.819152
MP_Q,-26015.8,73565.5,18260,0,0,0,1
MP_R,-3279.29,74475.8,18160,0,0,0,1
MP_S,12131.4,74581.6,18030,0,0,0,1
MP_T,33034.2,73918.8,17400,0,0,-0.25882,0.965926
MP_U,34756.9,71256.8,17470.3,0,0,-0.642788,0.766044
MP_V,37101.8,59117.4,17660,0,0,-0.887011,0.461749
MP_W,20131.7,38627.4,17980,0,0,-0.920505,0.390731
MP_X,7804.08,28597,18150.3,0,0,-0.946392,0.32302
ScenarioPoint_A,-17904.5,23130.6,19060,0,0,0,1
ScenarioPoint_B,-28858.7,70995,19060,0,0,0,1
ScenarioPoint_C,-12158.7,69787.4,19060,0,0,0,1
ScenarioPoint_D,-11954.2,74072.2,19060,0,0,0,1
ScenarioPoint_E,15501,73926.5,19060,0,0,0,1
ScenarioPoint_F,16807.3,73959.4,19060,0,0,0,1
ScenarioPoint_G,20876.4,56356.6,19060,0,0,0,1
ScenarioPoint_H,-4140.96,22853.2,19060,0,0,0,1
ScenarioPoint_I,-13551.7,-2227.37,19060,0,0,0,1
ScenarioPoint_J,20558.2,-29864.2,19060,0,0,0,1
SP_D,-11944.2,74082.2,18190,0,0,0,1
SP_E,15511,73936.5,17990,0,0,0,1
SP_F,16817.3,73969.4,18010,0,0,0,1
TI_1,-12148.7,69797.4,18030,0,0,0,1
TI_2,16061,69196.5,17500,0,0,0,1
TI_3,18501,61866.5,17520,0,0,0,1
TI_4,510.936,27528.5,18217.3,0,0,0,1
