"Name", "Type (Default value)", "Description"
"obstacles.rate", "double (50.0)", "Rate at which obstacle parsing is executed using the latest available data."
"obstacles.limit", "int (-1)", "Maximum number of parsed obstacles. If equal to -1, no limit is imposed - this may be very computationally expensive for fine grids."
"obstacles.type", "string ('cylinder')", "Type of obstacle generated from occupied cells. Can be either {'box'} or {'cylinder'}."
"obstacles.inflation", "double (1.0)", "Inflaction factor used to scale the obstacles extents. May be positive or negative."
"occupancy.threshold", "int (0)", "Occupancy value above which a cell in the occupancy grid is considered an obstacle."
"horizon.enable", "bool (true)", "Whether or not to use a horizon relative to AGV odometry to filter which obstacles are parsed from the grid."
"horizon.radius", double (5.0)", "Radius of the horizon (centerd around the AGV odometry header reference frame) inside of which obstacle parsing is enabled. When using dynamic or adaptive horizons, this parameter defines a minimum horizon length which may override the one compute dynamically."
"horizon.type", string ('static')", "Type of horizon used for obstacle filtering. Valid values are 'static', for a fixed radius horizon, 'dynamic', for a horizon defined by a time and a maximum traversal speed, 'adaptive', for a horizon radius that scales with vehicle speed."
"horizon.time", double (5.0)", "The time span in seconds that defines the radius of the horizon assuming maximum traversal speed (+10% margin)."
"horizon.max_speed", double (15.0), "Maximum traversal speed used for horizon radius calculation for the dynamic horizon type.
"fov.enable", "bool (true)", "Whether or not to use the field of view in fron of the vehicle to filter obstacles."
"fov.degrees", "double (90.0)", "Size of the field of view (to be intended as split into two symmetric halves with respect to the vehicle heading)."
"visualization.enable", "bool, false", "Whether or not visualization markers for the obstacles and/or the search region are published. This option may have a small performance impact on platforms with limited computing power."
"visualization.rate", "double, 5.0", "Rate at which the visualization markers are published."
