"Name", "Type (Default Value)", "Description"
"path_look_ahead", "double (15.0)", "Defines how far along the global path the planner should look for calculating obstacle avoidance and comfort planning."
"vehicle_width", "double (3.0)", "The width of the vehicle in meters."
"use_global_path", "bool (false)", "If true, use the global path published by the global path node as the desired centerline. If false, use the user-defined input waypoints as the desired centerline."
"num_paths", "int (31)", "The number of candidate paths to generate. More paths will result in a more optimal solution, but increase the computation time."
"max_steer_angle", "double (0.5)", "The maximum desired steering angle of the vehicle, in radians."
"output_path_step", "double (0.5)", "The spacing between points in the output path, in meters."
"path_integration_step", "double (0.35)", "The discretization step along the global path. Lower values will give more accurate calculations but be slower."
"dilation_factor", "int (0)", "The number of cells to expand around each obstacle. Provides a safety buffer around obstacles."
"trim_path", "bool (false)", "Reduce the length of the global path to only include points near the vehicle."
"display", "bool (false)", "Display the map and calculated paths in an Xwindow."
"rate", "double (50.0)", "The rate in Hz at which the calculation will run."
"w_c", "double (0.2)", "The comfort weight for the path cost."
"w_s", "double (0.2)", "The static safety weight for the path cost."
"w_d", "double (0.2)", "The dynamic safety weight for the path cost."
"w_r", "double, (0.4)", "The path deviation weight for the path cost."
